id,name,email,date,score,amount,category
1,  ROBIN JOHNSON  , ..robin.johnson..@example.com ,,64,1124.68,Wholesale
2,  Taylor Brown  ,..taylor.brown..@example.com,2020/03/29,3400,$162.21,e-comm
3,Casey Johnson,casey.johnson@test.net,03-05-2021,9, 346 ,Wholesale
4,Alex Brown,alex.brown@example.com,06/10/2021,82,$533.44,wholesale
5,Taylor Rodriguez,taylor.rodriguez@mail.com,2020/05/10,4634,506.57,e-comm
6,Chris Williams,chris.williams@sample.org,08-05-2020,25,1526.21,wholesale
7,parker jones, parker jones@example com ,06/04/2024,70,1057.71,wholesale
8,  drew rodriguez  ,..drew.rodriguez..@example.com,2020-05-25,3006,$146.36,e-comm
9,sam taylor,sam.taylor@sample.org,2023-10-11,13,$384.47, Wholesale 
10,  Jordan Smith  , ..jordan.smith..@example.com ,2022/09/21,7,$9.30,E-Commerce
11,  sam williams  ,..SAM.WILLIAMS..@EXAMPLE.COM,26/10/2022,23,140.58,wholesale
12,  DREW JONES  ,..drew.jones..@test.net,2024-13-19,72,$151.16, ONLINE 
13,Jamie Anderson,jamie.anderson@example.com,31/07/2020,4832,$315.12,retail
14,QUINN SMITH,QUINN.SMITH@EXAMPLE.COM,2020/11/26,1, 1890 ,Retail
15,  parker smith  ,..parker.smith..@example.com,25/06/2023,20, 1622 ,e-comm
16,  Taylor Taylor  ,..taylor.taylor..@test.net,17/09/2021,,1729.38,e-comm
17,LEE JONES, lee.jones@sample.org ,26/03/2023,0,1613.99,e-comm
18,Quinn Johnson,quinn.johnson@test.net,2021/01/27,95,"$1,232.95",wholesale
19,Sam Garcia,sam.garcia@mail.com,06-22-2023,2224,"$1,347.23", retail 
20,Drew Martinez, drew.martinez@test.net ,2024-03-17,89,$105.19, E-Commerce 
21,Parker Garcia,parker.garcia@test.net,14/06/2021,99,"$1,255.36",Retail
22,chris anderson,chris.anderson@sample.org,2022/05/10,89,1761.91,ONLINE
23,Parker Wilson,parker.wilsontest.net,08/04/2022,4675,$58.80,wholesale
24,Riley Brown,,2020/06/16,44, 142 ,Retail
25,  Morgan Garcia  ,..MORGAN.GARCIA..@EXAMPLE.COM,2023-03-31,48,"$1,431.45",e-comm
26,Parker Wilson, parker wilson@sample org ,2022/05/10,4066,"$1,416.08",e-comm
27,  Quinn Anderson  ,,2023/03/13,41,428.18,wholesale
28,Parker Brown,parker brown@example com,09-19-2021,54,"$1,103.03",Wholesale
29,parker anderson,parker.anderson@sample.org,,16,1948.72,retail
30,Alex Jones,alex.jones@test.net,06/11/2020,997,"$1,987.87",E-Commerce
31,Casey Wilson,casey.wilson@example.com,2023-09-14,9,819.99,Retail
32,Parker Taylor, parker.taylor@test.net ,28/06/2021,39,1649.36,Wholesale
33,  Alex Davis  ,..alex.davis..@mail.com,02-12-2020,,943.65,retail
34,riley martinez,riley.martinez@test.net,2023-01-31,41,1546.23,Retail
35,robin garcia, robin.garcia@sample.org ,14/07/2023,1,190.95,Wholesale
36,chris garcia,chris.garcia@test.net,2020-10-06,abc,683.05,Retail
37,Jamie Garcia,jamie.garcia@test.net,2021/05/04,NA,$639.76,E-Commerce
38,  Taylor Rodriguez  ,   taylor rodriguez  @test net ,2020/10/22,912,941.63,e-comm
39,Robin Anderson,robin.anderson@example.com,2021-04-10,81,$205.51,ONLINE
40,  Jamie Davis  ,..jamie.davis..@example.com,16/10/2022,58,23.75,e-comm
41,Avery Jones,avery.jones@test.net,08-28-2021,abc,552.59,e-comm
42,  morgan wilson  ,..morgan.wilson..@sample.org,12/09/2024,622,$621.32,wholesale
43,Parker Rodriguez,parker.rodriguez@sample.org,09-13-2022,14,155.22,e-comm
44,Alex Jones,alex.jones@sample.org,09/08/2020,71,1222.11,Wholesale
45,  SAM JOHNSON  ,..sam.johnson..@test.net,2023/01/11,53,1668.22, ONLINE 
46,Robin Miller,robin.miller@test.net,2024/08/14,81,47.61,retail
47,Morgan Miller, MORGAN.MILLER@SAMPLE.ORG ,28/05/2021,1379,34.65, ONLINE 
48,Sam Taylor,SAM.TAYLOR@MAIL.COM,11-10-2024,798,1997.18,Retail
49,Casey Wilson, casey.wilson@sample.org ,2023-12-08,98,"$1,731.66",retail
50,Casey Miller, CASEY.MILLER@EXAMPLE.COM ,02-22-2024,75,1125.56,E-Commerce
51,riley johnson,riley.johnson@mail.com,08-23-2020,,1219.94, Retail 
52,  CHRIS JOHNSON  , ..chris.johnson..@mail.com ,09-30-2021,10, 315 ,Retail
53,Jordan Miller,jordan.miller@test.net,2023-05-12,27,"$1,529.50", Retail 
54,quinn martinez, quinn.martinez@example.com ,2021/10/03,53, 813 ,wholesale
55,CHRIS RODRIGUEZ,CHRIS.RODRIGUEZ@MAIL.COM,21/08/2020,93,"$1,292.66", Retail 
56,Parker Martinez,parker.martinez@test.net,07-03-2023,19,940.5, wholesale 
